Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,novaclass
1.6,3.28,7.13,5.68,0.0,67.0,1.15,26.0,1.0,2.0,1.4,74.0,64.0,4
1.64,3.31,7.3,5.83,0.0,71.0,1.18,28.0,1.0,1.0,1.438,76.0,66.0,4
1.54,3.15,6.83,5.45,0.0,67.0,1.11,28.0,0.9,1.0,1.352,71.0,62.0,4
2.0,2.69,7.31,7.17,0.0,120.0,1.22,25.0,0.9,0.0,1.14,73.0,61.0,4
1.8,3.5,6.09,6.1,0.0,59.0,1.18,18.0,0.9,0.0,1.6,69.0,63.0,4
1.8,3.5,6.09,6.1,0.0,59.0,1.18,18.0,0.9,0.0,1.6,69.0,63.0,4
1.85,3.6,6.27,6.27,0.0,62.0,1.21,20.0,1.1,0.0,1.647,71.0,65.0,4
1.74,3.48,6.68,6.68,0.0,61.0,1.16,23.0,1.0,0.0,1.584,68.0,65.0,4
1.83,3.5,6.81,5.13,0.0,62.0,1.18,31.0,0.8,0.0,1.364,72.0,66.0,4
1.83,3.5,6.81,5.13,0.0,62.0,1.18,31.0,0.8,0.0,1.364,72.0,66.0,4
1.79,3.42,6.67,6.65,0.0,62.0,1.16,32.0,0.8,0.0,1.463,70.0,65.0,4
1.98,3.49,7.67,7.67,0.0,68.0,1.24,36.0,0.9,0.0,1.532,77.0,70.0,4
1.83,3.5,6.81,5.13,0.0,62.0,1.18,31.0,0.8,0.0,1.453,72.0,66.0,4
1.83,3.5,6.81,5.13,0.0,62.0,1.18,31.0,0.8,0.0,1.453,72.0,66.0,4
1.8,3.44,6.71,5.05,0.0,64.0,1.17,33.0,0.8,0.0,1.431,71.0,64.0,4
1.83,3.43,6.72,6.72,0.0,65.0,1.17,34.0,0.8,0.0,1.477,73.0,65.0,4
1.82,3.65,6.63,6.63,0.0,75.0,1.17,31.0,0.9,0.0,2.172,71.0,67.0,4
1.81,3.62,6.83,6.6,0.0,78.0,1.22,35.0,0.9,0.0,2.173,71.0,67.0,4
1.44,3.64,6.96,6.64,0.0,39.0,0.14,19.0,1.0,2.0,1.548,52.0,66.0,4
3.33,4.48,8.57,7.4,0.0,88.0,1.75,52.0,1.6,1.0,3.953,118.0,88.0,4
2.26,3.01,7.5,7.39,0.0,63.0,1.2,39.0,1.3,1.0,2.627,81.0,66.0,4
35.1,0.72,52.19,52.19,0.0,1231.0,0.31,549.0,11.0,18.0,0.467,1705.0,358.0,1
26.32,26.71,38.42,38.42,0.0,912.0,0.47,371.0,10.5,97.0,16.742,1330.0,496.0,1
34.76,1.7,51.67,51.67,0.0,1219.0,0.31,544.0,10.9,20.0,1.075,1688.0,363.0,1
35.1,0.72,52.19,52.19,0.0,1231.0,0.31,549.0,11.0,18.0,0.467,1705.0,358.0,1
12.93,1.07,74.46,74.46,0.0,796.0,0.88,1079.0,0.0,6.0,0.684,2080.0,353.0,3
6.67,4.0,83.73,65.55,3.7,133.0,1.19,504.0,0.0,0.0,2.377,712.0,398.0,4
15.49,3.0,71.93,37.65,7.5,576.0,4.96,876.0,0.0,0.0,1.777,2702.0,377.0,4
25.1,3.0,58.0,55.58,1.1,1440.0,4.96,653.0,0.0,11.0,1.777,2702.0,359.0,4
4.9,3.4,84.6,70.56,4.7,443.0,17.38,594.0,23.8,0.0,1.964,1193.0,389.0,4
19.6,13.7,57.9,1.75,33.2,128.0,13.86,21.0,0.0,0.0,8.07,1524.0,228.0,2
3.92,2.68,90.59,82.85,4.6,246.0,1.57,173.0,0.0,0.0,2.054,436.0,402.0,4
15.49,3.0,71.93,37.65,7.5,576.0,4.96,876.0,0.0,0.0,1.777,2702.0,377.0,4
